SFrame Completed
+--------------------------+------+-------------------------------+
|          image           | name |          annotations          |
+--------------------------+------+-------------------------------+
|  Height: 640 Width: 480  | 104  | [{'label': 'text', 'coordi... |
| Height: 2592 Width: 3888 | 196  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 161  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 151  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 100  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 290  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 260  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 291  | [{'label': 'text', 'coordi... |
| Height: 960 Width: 1280  | 112  | [{'label': 'text', 'coordi... |
|  Height: 640 Width: 480  | 211  | [{'label': 'text', 'coordi... |
+--------------------------+------+-------------------------------+
[200 rows x 3 columns]
Note: Only the head of the SFrame is printed.
You can use print_rows(num_rows=m, num_columns=n) to print more rows and columns.
Setting 'batch_size' to 128
Using GPUs to create model (GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti)
Setting 'max_iterations' to 1000
+--------------+--------------+--------------+
| Iteration    | Loss         | Elapsed Time |
+--------------+--------------+--------------+
| 674          | 1.582        | 6613.2       |
| 675          | 1.573        | 6623.4       |
| 677          | 1.570        | 6643.0       |
| 678          | 1.578        | 6653.1       |
| 680          | 1.603        | 6673.1       |
| 682          | 1.602        | 6690.6       |
| 683          | 1.617        | 6701.8       |
| 685          | 1.602        | 6721.2       |
| 686          | 1.617        | 6731.8       |
| 688          | 1.617        | 6751.5       |
| 690          | 1.607        | 6771.5       |
| 692          | 1.590        | 6789.8       |
| 694          | 1.579        | 6808.8       |
| 696          | 1.578        | 6829.4       |
| 698          | 1.596        | 6849.4       |
| 699          | 1.572        | 6859.8       |
| 701          | 1.600        | 6878.9       |
| 703          | 1.579        | 6897.8       |
| 705          | 1.586        | 6918.2       |
| 707          | 1.563        | 6936.6       |
| 708          | 1.557        | 6948.3       |
| 709          | 1.570        | 6958.5       |
| 711          | 1.591        | 6976.2       |
| 713          | 1.585        | 6996.8       |
| 715          | 1.596        | 7016.6       |
| 717          | 1.605        | 7035.3       |
| 719          | 1.615        | 7055.2       |
| 721          | 1.611        | 7075.1       |
| 723          | 1.599        | 7094.6       |
| 725          | 1.616        | 7114.0       |
| 726          | 1.601        | 7124.4       |
| 727          | 1.605        | 7134.9       |
| 729          | 1.588        | 7154.2       |
| 731          | 1.573        | 7174.2       |
| 733          | 1.567        | 7192.2       |
| 735          | 1.552        | 7212.9       |
| 737          | 1.581        | 7230.8       |
| 738          | 1.573        | 7242.5       |
| 740          | 1.567        | 7261.1       |
| 742          | 1.566        | 7281.7       |
| 744          | 1.572        | 7301.2       |
| 746          | 1.602        | 7320.0       |
| 747          | 1.577        | 7330.4       |
| 748          | 1.586        | 7340.6       |
| 750          | 1.592        | 7359.9       |
| 752          | 1.581        | 7378.7       |
